Environment,RIT*-CARM,RIT* (oracle),RIT* (Euclidean),BIT*,Informed RRT*,APT*
2D Obstacles,-44.00%,-0.33%,-43.96%,+0.00%,-1.15%,-3.73%
2D Forest,-59.08%,-1.06%,-79.97%,+0.00%,-0.80%,-1.97%
2D Maze,-10.53%,+0.98%,-10.71%,+0.00%,-1.76%,-3.07%
