demo,planner,seed,max_iterations,batch_size,final_cost,waypoints,time_s,success
UR10_grasp_can,RIT*,42,150,100,2.562272125290283,4,11.984447240829468,True
UR10_grasp_can,RIT*,43,150,100,3.5588795334409875,3,4.405414342880249,True
UR10_grasp_can,RIT*,44,150,100,2.9519973659230683,3,5.949833631515503,True
UR10_grasp_can,RIT*,45,150,100,3.099190381379698,3,3.7669272422790527,True
UR10_grasp_can,RIT*,46,150,100,2.618671942636726,4,7.720841407775879,True
UR10_grasp_can,Informed RRT*,42,150,100,2.585488308908992,4,14.116847038269043,True
UR10_grasp_can,Informed RRT*,43,150,100,2.506982337635632,4,14.304234027862549,True
UR10_grasp_can,Informed RRT*,44,150,100,2.5567085554291196,3,17.20034146308899,True
UR10_grasp_can,Informed RRT*,45,150,100,2.6071615337474827,5,14.092479228973389,True
UR10_grasp_can,Informed RRT*,46,150,100,2.7842236839597727,4,26.602355241775513,True
UR10_grasp_can,BIT*,42,150,100,2.591729885686122,3,1.855086088180542,True
UR10_grasp_can,BIT*,43,150,100,2.921962634811313,4,1.8208537101745605,True
UR10_grasp_can,BIT*,44,150,100,2.8577166396878173,3,1.5034327507019043,True
UR10_grasp_can,BIT*,45,150,100,2.6540117744639407,3,1.473198413848877,True
UR10_grasp_can,BIT*,46,150,100,3.171184322162463,3,15.05636739730835,True
UR10_grasp_can,AIT*,42,150,100,2.7782892643522827,4,58.91053342819214,True
UR10_grasp_can,AIT*,43,150,100,2.495309617195843,3,27.949469804763794,True
UR10_grasp_can,AIT*,44,150,100,2.5870276723055863,3,34.50924062728882,True
UR10_grasp_can,AIT*,45,150,100,2.8314991031978582,3,100.58639907836914,True
UR10_grasp_can,AIT*,46,150,100,2.7578619007845138,3,430.11048889160156,True
UR10_grasp_can,EIT*,42,150,100,2.7782892643522827,4,46.40782690048218,True
UR10_grasp_can,EIT*,43,150,100,2.495309617195843,3,38.62040114402771,True
UR10_grasp_can,EIT*,44,150,100,2.5870276723055863,3,40.44951796531677,True
UR10_grasp_can,EIT*,45,150,100,2.8314991031978582,3,54.84929537773132,True
