variant,env,trial,seed,final_cost,time_s,path_len
full,2D Random World,0,42,1.0505330024983102,0.9693913459777832,7
full,2D Random World,1,43,1.0507112945773829,0.9315130710601807,7
full,2D Random World,2,44,1.0494016890585145,1.0422837734222412,6
full,2D Random World,3,45,1.056552883215241,0.9011123180389404,6
full,2D Random World,4,46,1.067342918838724,0.77565598487854,6
full,2D Random World,5,47,1.0690864584078135,1.333380937576294,5
full,2D Random World,6,48,1.077339002811996,0.8994178771972656,5
full,2D Random World,7,49,1.0675549903580737,1.1307194232940674,6
full,2D Random World,8,50,1.0779487904993699,1.1739702224731445,5
full,2D Random World,9,51,1.067810594797434,3.0877275466918945,6
full,3D Diagonal,0,42,2.2922519318186505,9.835905313491821,8
full,3D Diagonal,1,43,2.308877927602235,7.549427270889282,5
full,3D Diagonal,2,44,2.3590555733504748,11.629183292388916,6
full,3D Diagonal,3,45,2.345217863665211,16.774481058120728,6
full,3D Diagonal,4,46,2.270525239515737,10.293169498443604,6
full,3D Diagonal,5,47,2.303323958044515,11.869093894958496,6
full,3D Diagonal,6,48,2.2881038416555315,9.992403507232666,7
full,3D Diagonal,7,49,2.3174678411907452,17.32362723350525,6
full,3D Diagonal,8,50,2.374953459921732,3.9678902626037598,7
full,3D Diagonal,9,51,2.3368846969387573,11.320438385009766,7
full,UR10_pick_place_drill,0,42,1.6052494143638074,11.244760036468506,3
full,UR10_pick_place_drill,1,43,1.5389086923890507,15.92988920211792,3
full,UR10_pick_place_drill,2,44,1.392709136411628,16.142977952957153,3
full,UR10_pick_place_drill,3,45,1.5363809562175983,16.07486581802368,3
full,UR10_pick_place_drill,4,46,1.4246379779528962,16.119598627090454,3
full,UR10_pick_place_drill,5,47,1.5373561115877568,11.106536626815796,3
full,UR10_pick_place_drill,6,48,1.4931118527548781,16.277915954589844,3
full,UR10_pick_place_drill,7,49,1.3919506332888534,16.228981494903564,3
full,UR10_pick_place_drill,8,50,1.3755733087691309,10.764912366867065,3
full,UR10_pick_place_drill,9,51,1.593531226634398,15.561575651168823,3
full,Tiago 14D simple,0,42,8.575728393953286,1096.3327314853668,3
full,Tiago 14D simple,1,43,8.579957719922849,1124.6647198200226,3
full,Tiago 14D simple,2,44,8.58309009292612,1269.225922346115,3
full,Tiago 14D simple,3,45,8.577659347249273,1067.0924084186554,3
full,Tiago 14D simple,4,46,8.574395563880913,1108.8014471530914,3
full,Tiago 14D simple,5,47,8.600323342459133,1107.1581053733826,3
full,Tiago 14D simple,6,48,8.643665417633493,1353.9988701343536,3
full,Tiago 14D simple,7,49,9.06341260211161,1285.8323819637299,3
full,Tiago 14D simple,8,50,8.588872330346385,1271.1374621391296,3
full,Tiago 14D simple,9,51,8.579778818280985,1239.0316543579102,3
no_riem_samp,2D Random World,0,42,1.0480714592337663,2.285292148590088,5
no_riem_samp,2D Random World,1,43,1.0742727180453935,0.8718228340148926,5
no_riem_samp,2D Random World,2,44,1.0637028924774121,1.1286253929138184,6
no_riem_samp,2D Random World,3,45,1.0704915325261033,1.8976919651031494,5
no_riem_samp,2D Random World,4,46,1.0796757289785672,0.6969733238220215,5
no_riem_samp,2D Random World,5,47,1.0586358449194249,0.6641368865966797,5
no_riem_samp,2D Random World,6,48,1.083048333512349,1.1949889659881592,5
no_riem_samp,2D Random World,7,49,1.0671897685930145,1.1721174716949463,5
no_riem_samp,2D Random World,8,50,1.0721598122269742,1.9732599258422852,7
no_riem_samp,2D Random World,9,51,1.0433998998816458,1.8788464069366455,5
no_riem_samp,3D Diagonal,0,42,2.4315638598903613,5.789687395095825,7
no_riem_samp,3D Diagonal,1,43,2.456706877640494,12.919183015823364,6
no_riem_samp,3D Diagonal,2,44,2.573666166616861,8.622066020965576,7
no_riem_samp,3D Diagonal,3,45,2.944100846296031,10.05086064338684,7
no_riem_samp,3D Diagonal,4,46,2.3461612180797897,17.153848886489868,5
no_riem_samp,3D Diagonal,5,47,2.6129342394084194,11.485396385192871,6
no_riem_samp,3D Diagonal,6,48,2.284767715871598,14.103773593902588,7
no_riem_samp,3D Diagonal,7,49,2.372307189145209,19.24592089653015,6
no_riem_samp,3D Diagonal,8,50,2.335704641204403,5.658998250961304,6
no_riem_samp,3D Diagonal,9,51,2.335950262127949,18.64730453491211,6
no_riem_samp,UR10_pick_place_drill,0,42,1.373174641048567,62.10269594192505,3
no_riem_samp,UR10_pick_place_drill,1,43,1.445663180040646,39.740204095840454,3
no_riem_samp,UR10_pick_place_drill,2,44,1.6158012519909462,25.338849306106567,3
no_riem_samp,UR10_pick_place_drill,3,45,1.4400839156633256,25.34667181968689,3
no_riem_samp,UR10_pick_place_drill,4,46,1.3885510208538552,37.012213706970215,4
no_riem_samp,UR10_pick_place_drill,5,47,1.4322816660445628,28.14400553703308,3
no_riem_samp,UR10_pick_place_drill,6,48,1.4937298842188889,531.6820669174194,4
no_riem_samp,UR10_pick_place_drill,7,49,1.5131935301452362,28.412113428115845,3
no_riem_samp,UR10_pick_place_drill,8,50,1.5283726334560548,25.252195119857788,3
no_riem_samp,UR10_pick_place_drill,9,51,1.4032434312549684,29.823790073394775,4
no_riem_samp,Tiago 14D simple,0,42,8.577833843595197,798.026134967804,3
no_riem_samp,Tiago 14D simple,1,43,8.577928956096482,816.742326259613,3
no_riem_samp,Tiago 14D simple,2,44,8.57751240420254,797.1813175678253,3
no_riem_samp,Tiago 14D simple,3,45,8.573026622554707,810.3788282871246,3
no_riem_samp,Tiago 14D simple,4,46,8.586074455361805,772.5716264247894,3
no_riem_samp,Tiago 14D simple,5,47,9.134495520537964,791.1387326717377,3
no_riem_samp,Tiago 14D simple,6,48,8.588541614652732,820.5064461231232,3
no_riem_samp,Tiago 14D simple,7,49,8.58716941898993,806.684446811676,3
no_riem_samp,Tiago 14D simple,8,50,8.57881981340924,818.2280659675598,3
no_riem_samp,Tiago 14D simple,9,51,8.605349258221416,823.9552037715912,3
no_cascading,2D Random World,0,42,1.067784965694874,0.8497211933135986,6
no_cascading,2D Random World,1,43,1.0526456320360862,0.9000270366668701,7
no_cascading,2D Random World,2,44,1.049350928020142,0.978245735168457,7
no_cascading,2D Random World,3,45,1.0602541521218167,1.2804346084594727,7
no_cascading,2D Random World,4,46,1.0938548982392657,0.9708044528961182,5
no_cascading,2D Random World,5,47,1.0749125183871928,1.1792852878570557,6
no_cascading,2D Random World,6,48,1.0853467658030818,0.8106887340545654,5
no_cascading,2D Random World,7,49,1.0597061836837574,1.0871033668518066,5
no_cascading,2D Random World,8,50,1.069990506198134,0.7526059150695801,5
no_cascading,2D Random World,9,51,1.0658637476594546,3.1009511947631836,5
no_cascading,3D Diagonal,0,42,2.3420710171416776,14.386543035507202,7
no_cascading,3D Diagonal,1,43,2.308877927602235,7.589497089385986,5
no_cascading,3D Diagonal,2,44,2.3398831017437436,17.66535449028015,7
no_cascading,3D Diagonal,3,45,2.345217863665211,17.141843795776367,6
no_cascading,3D Diagonal,4,46,2.321405840028424,13.39092493057251,7
no_cascading,3D Diagonal,5,47,2.303323958044515,12.158784627914429,6
no_cascading,3D Diagonal,6,48,2.2881038416555315,10.05514121055603,7
no_cascading,3D Diagonal,7,49,2.3087870807505535,8.296053647994995,6
no_cascading,3D Diagonal,8,50,2.3544327128372586,5.672334671020508,6
no_cascading,3D Diagonal,9,51,2.3368846969387573,11.5514554977417,7
no_cascading,UR10_pick_place_drill,0,42,1.6052467731709903,11.419849634170532,3
no_cascading,UR10_pick_place_drill,1,43,1.538898355967543,16.295125007629395,3
no_cascading,UR10_pick_place_drill,2,44,1.392708218056218,16.242295503616333,3
no_cascading,UR10_pick_place_drill,3,45,1.5363809562175983,16.221359491348267,3
no_cascading,UR10_pick_place_drill,4,46,1.424631815815514,16.16797161102295,3
no_cascading,UR10_pick_place_drill,5,47,1.5373561115877568,11.26619005203247,3
no_cascading,UR10_pick_place_drill,6,48,1.4931118527548781,16.24378204345703,3
no_cascading,UR10_pick_place_drill,7,49,1.3919506332888534,16.152015209197998,3
no_cascading,UR10_pick_place_drill,8,50,1.375570495349216,11.031219959259033,3
no_cascading,UR10_pick_place_drill,9,51,1.5935206967645412,15.582045555114746,3
no_cascading,Tiago 14D simple,0,42,8.575724929925906,1113.2092475891113,3
no_cascading,Tiago 14D simple,1,43,8.579940018893819,1127.8820884227753,3
no_cascading,Tiago 14D simple,2,44,8.583090084498782,1275.234304189682,3
no_cascading,Tiago 14D simple,3,45,8.577659343055604,1083.121845960617,3
no_cascading,Tiago 14D simple,4,46,8.574395560017187,1115.5345814228058,3
no_cascading,Tiago 14D simple,5,47,8.6003233424237,1104.2522194385529,3
no_cascading,Tiago 14D simple,6,48,8.669596538868035,2003.1081802845001,3
no_cascading,Tiago 14D simple,7,49,9.06340729862296,1295.2143676280975,3
no_cascading,Tiago 14D simple,8,50,8.58885618957267,1289.3976123332977,3
no_cascading,Tiago 14D simple,9,51,8.579778817821381,1259.4836728572845,3
no_carm,2D Random World,0,42,0.9161936867754981,0.3646543025970459,5
no_carm,2D Random World,1,43,0.9138054641322689,0.5002138614654541,5
no_carm,2D Random World,2,44,0.9110944446252363,0.7052276134490967,6
no_carm,2D Random World,3,45,0.9093174390400185,0.8272542953491211,5
no_carm,2D Random World,4,46,0.9121189897524257,0.6402280330657959,5
no_carm,2D Random World,5,47,0.9113387201301633,0.8701498508453369,6
no_carm,2D Random World,6,48,0.9124497861855236,0.44422388076782227,7
no_carm,2D Random World,7,49,0.9190438136336181,0.48419666290283203,5
no_carm,2D Random World,8,50,0.9181422967515531,0.28958797454833984,6
no_carm,2D Random World,9,51,0.9110994040853855,0.7269740104675293,6
no_carm,3D Diagonal,0,42,2.183742195580524,1.064004898071289,7
no_carm,3D Diagonal,1,43,2.1716742034255163,1.6276240348815918,6
no_carm,3D Diagonal,2,44,2.1181466759307024,1.6642711162567139,6
no_carm,3D Diagonal,3,45,2.1565135412303853,1.57033109664917,6
no_carm,3D Diagonal,4,46,2.174525968481027,1.482588768005371,7
no_carm,3D Diagonal,5,47,2.247126616655186,0.7024345397949219,7
no_carm,3D Diagonal,6,48,2.1390227944839646,1.215308666229248,7
